"use_case","use_case_type",classification,"sub_classification","lantern_data_type",category,"sub_category",domain,"data_model","data_type",apps,url,"parent_use_case","parent_url",vertical,docs,status,notes,"created_by","last_updated","related_use_cases",description
"File write spikes","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2878","Detecting a ransomware attack","http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral",,Active,,,,,
"Files a user uploaded to a network file share","Analytic Capability","Digital Resilience","Foundational Visibility","Network sessions","Incident Management",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/793","Investigating a ransomware attack","https://lantern.splunk.com/@go/page/725","Industry Neutral",,Active,"Removed System Log data",,,,
"Files that belong to a network user","Analytic Capability","Digital Resilience","Foundational Visibility",Endpoint,"Incident Management",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/794","Investigating a ransomware attack","https://lantern.splunk.com/@go/page/725","Industry Neutral",,Active,"Removed System Log data",,,,
"Filesystem mounts after *nix patching event","Analytic Capability","Digital Resilience","Foundational Visibility","Patch management","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Linux and Unix data",,"https://lantern.splunk.com/@go/page/678","Maintaining *nix systems with the Splunk platform","https://lantern.splunk.com/@go/page/630","Industry Neutral",,Active,,,,,
"Finding Windows audit log tampering","Technical Capability","Digital Resilience","Guided Insights","Application server","Anomaly Detection",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/365","Anomaly Detection","https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection","Industry Neutral",,Active,"Threat Hunting is the Use Case - Defined by Steering committee. Under Guided Insights Classification.",,,,
"Finding interactive logins from service accounts","Technical Capability","Digital Resilience","Guided Insights",Authentication,"Threat Hunting",,Security,,"Authentication data",,"https://lantern.splunk.com/@go/page/351","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,"Threat Hunting is the Use Case - Defined by Steering committee. Under Guided Insights Classification.",,,,
"Finding interactive logins from service accounts","Technical Capability","Digital Resilience","Guided Insights",Authentication,"Threat Hunting",,Security,,"Identity and Access Management data",,"https://lantern.splunk.com/@go/page/351","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,"Threat Hunting is the Use Case - Defined by Steering committee. Under Guided Insights Classification.",,,,
"Finding large web uploads","Technical Capability","Digital Resilience","Guided Insights","Web proxy","Threat Hunting",,Security,,"Data Loss Prevention data",,"https://lantern.splunk.com/@go/page/366","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,"Threat Hunting is the Use Case - Defined by Steering committee. Under Guided Insights Classification.",,,,
"Finding large web uploads","Technical Capability","Digital Resilience","Guided Insights","Web proxy","Threat Hunting",,Security,,"Web Proxy data",,"https://lantern.splunk.com/@go/page/366","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,"Threat Hunting is the Use Case - Defined by Steering committee. Under Guided Insights Classification.",,,,
"First time seen JA3/JA3s hashes","Analytic Capability","Digital Resilience","Guided Insights","Deep packet inspection","Threat Hunting",,Security,,"Deep Packet Inspection data",,"https://lantern.splunk.com/@go/page/2569","Detecting software supply chain attacks","https://lantern.splunk.com/@go/page/2568","Industry Neutral",,Active,,,,,
"First time seen stack trace",Capability,"Digital Resilience Journey","Foundational Visibility",,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Foundational_Visibility/IT_Ops/Using_stack_traces_to_detect_application_errors/First_time_seen_stack_trace",,,,,,,,,,
"General call disposition","Analytic Capability",Platform,,"Call detail",Industry,"Technology, Communications, and Media",Platform,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/2353","Monitoring key telecommunications service metrics","https://lantern.splunk.com/@go/page/2350","Technology, Communications, and Media",,Active,,,,,
"Geographic access to AWS S3 Buckets","Analytic Capability","Digital Resilience","Foundational Visibility","Cloud services","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:Access logs data",,"https://lantern.splunk.com/@go/page/2845","Managing an Amazon Web Services environment","https://lantern.splunk.com/@go/page/625","Industry Neutral",,Active,,,,,
"Geographically improbable access detected","Analytic Capability","Digital Resilience","Foundational Visibility",Authentication,Compliance,,Security,,"AWS:CloudTrail data",,"https://lantern.splunk.com/@go/page/551","Running common General Data Protection Regulation (GDPR) compliance searches","https://lantern.splunk.com/@go/page/521","Industry Neutral",,Active,,,,,
"Geographically improbable access detected","Analytic Capability","Digital Resilience","Foundational Visibility",Authentication,Compliance,,Security,,"Authentication data",,"https://lantern.splunk.com/@go/page/551","Running common General Data Protection Regulation (GDPR) compliance searches","https://lantern.splunk.com/@go/page/521","Industry Neutral",,Active,,,,,
"Getting Started Guide: Detecting and preventing fraud with the Splunk App for Fraud Analytics","Use Case",Platform,,,Industry,"Financial Services and Insurance",Platform,,,,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/FSI_Detecting_and_preventing_fraud_with_the_Splunk_App_for_Fraud_Analytics",,,,,,,,,,
"Getting started with MITRE ATT&CK in Enterprise Security and Security Essentials","Technical Capability","Digital Resilience","Guided Insights","N/A","Leverage Cyber Frameworks",,Security,,"N/A",,"https://lantern.splunk.com/@go/page/4225","Leverage Cyber Security Frameworks","https://lantern.splunk.com/Security/UCE/Guided_Insights/Cyber_frameworks","Industry Neutral",,Active,,,,,
"Getting started with Splunk Essentials for the Financial Services Industry",Capability,Platform,,,Industry,"Financial Services and Insurance",Platform,,,,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Getting_started_with_Splunk_Essentials_for_the_Financial_Services_Industry",,,,,,,,,,
"HIPAA access controls","Analytic Capability",Platform,,"Medical device",Industry,Healthcare,Platform,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2891","Complying with the HIPAA Security Rule for ePHI","https://lantern.splunk.com/@go/page/2889",Healthcare,,Active,,,,,
"HIPAA access controls","Analytic Capability",Platform,,"Medical device",Industry,Healthcare,Platform,,"Medical Device data",,"https://lantern.splunk.com/@go/page/2891","Complying with the HIPAA Security Rule for ePHI","https://lantern.splunk.com/@go/page/2889",Healthcare,,Active,,,,,
"HIPAA audit controls","Analytic Capability",Platform,,"Medical device",Industry,Healthcare,Platform,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2893","Complying with the HIPAA Security Rule for ePHI","https://lantern.splunk.com/@go/page/2889",Healthcare,,Active,,,,,
"HIPAA audit controls","Analytic Capability",Platform,,"Medical device",Industry,Healthcare,Platform,,"Medical Device data",,"https://lantern.splunk.com/@go/page/2893","Complying with the HIPAA Security Rule for ePHI","https://lantern.splunk.com/@go/page/2889",Healthcare,,Active,,,,,
"HIPAA authentication controls","Analytic Capability",Platform,,"Medical device",Industry,Healthcare,Platform,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2895","Complying with the HIPAA Security Rule for ePHI","https://lantern.splunk.com/@go/page/2889",Healthcare,,Active,,,,,
"HIPAA authentication controls","Analytic Capability",Platform,,"Medical device",Industry,Healthcare,Platform,,"Medical Device data",,"https://lantern.splunk.com/@go/page/2895","Complying with the HIPAA Security Rule for ePHI","https://lantern.splunk.com/@go/page/2889",Healthcare,,Active,,,,,
"HIPAA integrity controls","Analytic Capability",Platform,,"Medical device",Industry,Healthcare,Platform,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2894","Complying with the HIPAA Security Rule for ePHI","https://lantern.splunk.com/@go/page/2889",Healthcare,,Active,,,,,
"HIPAA integrity controls","Analytic Capability",Platform,,"Medical device",Industry,Healthcare,Platform,,"Medical Device data",,"https://lantern.splunk.com/@go/page/2894","Complying with the HIPAA Security Rule for ePHI","https://lantern.splunk.com/@go/page/2889",Healthcare,,Active,,,,,
"HIPAA transmission security","Analytic Capability",Platform,,"Medical device",Industry,Healthcare,Platform,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2897","Complying with the HIPAA Security Rule for ePHI","https://lantern.splunk.com/@go/page/2889",Healthcare,,Active,,,,,
"HIPAA transmission security","Analytic Capability",Platform,,"Medical device",Industry,Healthcare,Platform,,"Medical Device data",,"https://lantern.splunk.com/@go/page/2897","Complying with the HIPAA Security Rule for ePHI","https://lantern.splunk.com/@go/page/2889",Healthcare,,Active,,,,,
"HTTP basic authentication to an API","Technical Capability","Digital Resilience","Foundational Visibility","Synthetic monitoring","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Synthetic Monitoring data",,"https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences/Monitoring_API_transactions/HTTP_basic_authentication_to_an_API","Monitoring API transactions","https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences/Monitoring_API_transactions","Industry Neutral",,Active,,,,,
"Health of AWS elastic load balancers","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:Description data",,"https://lantern.splunk.com/@go/page/656","Managing an Amazon Web Services environment","https://lantern.splunk.com/@go/page/625","Industry Neutral",,Active,,,,,
"Health of critical AWS infrastructure from CloudWatch metrics","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:CloudWatch data",,"https://lantern.splunk.com/@go/page/2844","Managing an Amazon Web Services environment","https://lantern.splunk.com/@go/page/625","Industry Neutral",,Active,,,,,
"High CPU utilization alert","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Linux and Unix data",,"https://lantern.splunk.com/@go/page/1512","Recovering lost visibility of IT infrastructure","https://lantern.splunk.com/@go/page/1511","Industry Neutral",,Active,"Removed System Log data",,,,
"High CPU utilization alert","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/1512","Recovering lost visibility of IT infrastructure","https://lantern.splunk.com/@go/page/1511","Industry Neutral",,Active,"Removed System Log data",,,,
"High file deletion frequency","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2860","Detecting a ransomware attack","http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral",,Active,"Removed System Log data",,,,
"High file deletion frequency","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/2860","Detecting a ransomware attack","http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral",,Active,"Removed System Log data",,,,
"High process termination frequency","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2862","Detecting a ransomware attack","http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral",,Active,"Removed System Log data",,,,
"High process termination frequency","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/2862","Detecting a ransomware attack","http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral",,Active,"Removed System Log data",,,,
