Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM,GHG,GHG Conversion Factor
Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Volume,litres,kg N2O,0.00394
Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Tonnes,tonnes,kg CO2e,"2,993.58479"
Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Tonnes,tonnes,kg CH4,9.42658
Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Tonnes,tonnes,kg CO2,"2,978.76283"
Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Tonnes,tonnes,kg N2O,5.39538
Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.24053
Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00072
Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Energy - Gross CV,kWh (Gross CV),kg CO2,0.23940
Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00041
Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Energy - Net CV,kWh (Net CV),kg CO2e,0.25319
Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Energy - Net CV,kWh (Net CV),kg CH4,0.00076
Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Energy - Net CV,kWh (Net CV),kg CO2,0.25200
Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Energy - Net CV,kWh (Net CV),kg N2O,0.00043
Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Volume,litres,kg CO2e,2.30250
Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Volume,litres,kg CH4,0.00689
Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Volume,litres,kg CO2,2.29167
